x,y,label
0.5833333333333334,3.6166666666666663,0
1.5833333333333333,2.3666666666666663,0
2.55,1.25,0
3.6,0.40000000000000036,0
5.866666666666666,-0.5166666666666675,0
6.95,-1.416666666666666,0
4.683333333333334,0.5166666666666666,0
8.7,0.5499999999999998,0
0.7,6.383333333333333,0
2.4166666666666665,6.433333333333334,1
2.5,5.05,1
2.8333333333333335,3.3833333333333337,1
5.516666666666667,2.6833333333333336,1
7.016666666666667,1.9000000000000004,1
8.65,2.1833333333333336,1
11.0,2.25,1
11.4,1.4666666666666668,1
4.2,3.3,1
4.766666666666667,4.85,1
6.15,4.166666666666666,1
7.883333333333334,3.416666666666667,1
9.833333333333334,4.45,1
11.483333333333333,3.75,1
8.933333333333334,5.8,1
6.15,6.3,1
4.583333333333333,5.983333333333333,1
7.283333333333333,5.116666666666667,1
8.933333333333334,4.166666666666666,1
9.966666666666667,3.283333333333333,0
1.1333333333333333,0.5666666666666664,0
1.2333333333333334,-0.9000000000000004,0
2.75,-0.2666666666666675,0
4.666666666666667,-0.9000000000000004,0
5.966666666666667,-1.5666666666666664,0
8.583333333333334,-1.083333333333334,0
9.4,-1.75,0
4.15,-1.4000000000000004,0
2.433333333333333,-1.0999999999999996,0
2.1333333333333333,0.2333333333333334,0
